INSTANCE,#STATES,#TRANS
"./allBenchmarks/mist/PN/extendedread-write-smallconsts.spec",24,22
"./allBenchmarks/mist/PN/pingpong.spec",6,6
"./allBenchmarks/mist/PN/leabasicapproach.spec",16,12
"./allBenchmarks/mist/PN/fms_attic.spec",22,20
"./allBenchmarks/mist/PN/mesh2x2.spec",32,32
"./allBenchmarks/mist/PN/pncsasemiliv.spec",31,36
"./allBenchmarks/mist/PN/manufacturing.spec",13,6
"./allBenchmarks/mist/PN/csm.spec",14,13
"./allBenchmarks/mist/PN/bingham_h25.spec",28,51
"./allBenchmarks/mist/PN/bingham_h250_attic.spec",253,501
"./allBenchmarks/mist/PN/kanban.spec",16,16
"./allBenchmarks/mist/PN/basicME.spec",5,4
"./allBenchmarks/mist/PN/pncsacover.spec",31,36
"./allBenchmarks/mist/PN/bingham_h50.spec",53,101
"./allBenchmarks/mist/PN/mesh3x2.spec",52,54
"./allBenchmarks/mist/PN/multipool.spec",18,21
"./allBenchmarks/mist/PN/fms.spec",22,20
"./allBenchmarks/mist/PN/MultiME.spec",12,11
"./allBenchmarks/mist/boundedPN/lamport.spec",11,9
"./allBenchmarks/mist/boundedPN/read-write.spec",13,9
"./allBenchmarks/mist/boundedPN/peterson.spec",14,12
"./allBenchmarks/mist/boundedPN/kanban.spec",16,16
"./allBenchmarks/mist/boundedPN/newdekker.spec",16,14
"./allBenchmarks/mist/boundedPN/newrtp.spec",9,12
